OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
23454,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Jem Wey Apartments,915 Queen Anne,Seattle,WA,98119,3879900340,7,MAGNOLIA / QUEEN ANNE,47.62763,-122.35669,1958,1,6,"39,212",0,"39,212",Multifamily Housing,Multifamily Housing,"39,212",,,,,,83,33.5,36.40000153,105.1999969,114.3000031,"1,313,366","1,427,385.5",0,"384,925.5","1,313,366",0,0,false,,Compliant,,9.16,0.23
23457,2016,Multifamily LR (1-4),Low-Rise Multifamily,1000 1st Ave W Apartments,1000 1st Ave W,Seattle,WA,98119,3879900375,7,MAGNOLIA / QUEEN ANNE,47.628,-122.35769,1960,1,4,"22,093",0,"22,093","Multifamily Housing, Parking",Multifamily Housing,"22,093",Parking,800,,,,76,24.29999924,25.89999962,76.30000305,81.5,"536,511.5","573,120.5",0,"157,242.5","536,511",0,0,false,,Compliant,,3.74,0.17
23458,2016,Multifamily LR (1-4),Low-Rise Multifamily,BUNGALOWS,617 Queen Anne Ave N,Seattle,WA,98109,3879900435,7,MAGNOLIA / QUEEN ANNE,47.62522,-122.35707,1906,1,2,"22,113",0,"22,113","Multifamily Housing, Retail Store",Multifamily Housing,"15,900",Retail Store,"6,213",,,,87,30.70000076,34.20000076,96.5,107.5,"679,565.625","756,967.125",0,"199,169.2031","679,565",0,0,false,,Compliant,,4.74,0.21
23459,2016,NonResidential,Small- and Mid-Sized Office,18 West Mercer,18 West Mercer St,Seattle,WA,98119,3879900465,7,MAGNOLIA / QUEEN ANNE,47.62481,-122.35762,1984,1,4,"57,110","15,812","41,298","Office, Parking",Office,"36,867",Parking,"28,390",,,,69,59.40000153,61.70000076,175.5,180,"2,190,460","2,275,712",0,"584,552.6875","1,994,494","1,959.661865","195,966",false,,Compliant,,24.31,0.43
23462,2016,Multifamily LR (1-4),Low-Rise Multifamily,Del Roy Apartments,25 West Roy St.,Seattle,WA,98119,3879900500,7,MAGNOLIA / QUEEN ANNE,47.62561,-122.35763,1914,1,4,"40,370",0,"40,370",Multifamily Housing,Multifamily Housing,"40,370",,,,,,51,24.29999924,26.20000076,76.40000153,82.19999695,"982,153.875","1,056,898.5",0,"287,852.8125","982,154",0,0,false,,Compliant,,6.85,0.17
23465,2016,Multifamily LR (1-4),Low-Rise Multifamily,Chandler Hall Apartments,119 W Roy St,Seattle,WA,98119,3879900590,7,MAGNOLIA / QUEEN ANNE,47.62526,-122.35471,1924,1,4,"51,150",0,"51,150",Multifamily Housing,Multifamily Housing,"48,320",,,,,,70,67.19999695,74.69999695,96,104.1999969,"3,245,598","3,611,072.25",0,"172,536.2969","588,694","26,569.03906","2,656,904",false,,Compliant,,145.21,2.84
23466,2016,Multifamily MR (5-9),Mid-Rise Multifamily,The Queensborough Apartments,101 west olympic place,Seattle,WA,98119,3879900620,7,MAGNOLIA / QUEEN ANNE,47.62657,-122.3584,1950,1,8,"129,860",0,"129,860","Multifamily Housing, Parking",Multifamily Housing,"83,306",Parking,"46,554",,,,96,70.09999847,77.69999695,105.8000031,113.8000031,"5,838,129","6,474,877.5",0,"376,167.1875","1,283,482","45,546.46094","4,554,646",false,,Compliant,,250.84,1.93
23484,2016,Multifamily LR (1-4),Low-Rise Multifamily,Beacon View A,1701 12th ave S,Seattle,WA,98144,7660600235,2,GREATER DUWAMISH,47.588,-122.3177,1968,1,4,"35,796",0,"35,796",Multifamily Housing,Multifamily Housing,"35,796",,,,,,43,32.40000153,34.59999847,101.5999985,108.8000031,"1,158,549.25","1,240,226.25",0,"339,551.3125","1,158,549",0,0,false,,Compliant,,8.08,0.23
23846,2016,NonResidential,Small- and Mid-Sized Office,Diamond Building,3161 Elliott Avenue,Seattle,WA,98121,7666202225,7,DOWNTOWN,47.61833,-122.35871,1979,1,3,"34,030",0,"34,030",Office,Office,"34,030",,,,,,50,51.40000153,53.40000153,147.8999939,151.1000061,"1,748,629.875","1,815,642.75",0,"448,514","1,530,330","2,183","218,300",false,,Compliant,,22.26,0.65
23495,2016,Multifamily LR (1-4),Low-Rise Multifamily,"SHOREWOOD APTS BLDG B, C, D, & E",3101 NE 145th St,Seattle,WA,98125,7663700330,5,NORTH,47.73357,-122.29501,1975,1,3,"72,671",0,"72,671",Multifamily Housing,Multifamily Housing,"58,795",,,,,,46,35.40000153,37.70000076,110,117.3000031,"2,082,754.75","2,218,827.5",0,"600,163.125","2,047,757",349.980011,"34,998",false,,Compliant,,16.13,0.22
